rank,category,personName,country,city,source,industries,selfMade,gender,lastName,firstName,finalWorth,birthYear,birthMonth,birthDay,cpi_country,gdp_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,
1,Fashion & Retail,Bernard Arnault & family,France,Paris,LVMH,Fashion & Retail,FALSE,M,Arnault,Bernard,211000,1949,3,5,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
2,Automotive,Elon Musk,United States,Austin,"Tesla, SpaceX",Automotive,TRUE,M,Musk,Elon,180000,1971,6,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
3,Technology,Jeff Bezos,United States,Medina,Amazon,Technology,TRUE,M,Bezos,Jeff,114000,1964,1,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
4,Technology,Larry Ellison,United States,Lanai,Oracle,Technology,TRUE,M,Ellison,Larry,107000,1944,8,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
5,Finance & Investments,Warren Buffett,United States,Omaha,Berkshire Hathaway,Finance & Investments,TRUE,M,Buffett,Warren,106000,1930,8,30,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
6,Technology,Bill Gates,United States,Medina,Microsoft,Technology,TRUE,M,Gates,Bill,104000,1955,10,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
6,Technology,Bill Gates,United States,Medina,Microsoft,Technology,TRUE,M,Gates,Bill,104000,1955,10,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
7,Media & Entertainment,Michael Bloomberg,United States,New York,Bloomberg LP,Media & Entertainment,TRUE,M,Bloomberg,Michael,94500,1942,2,14,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
8,Telecom,Carlos Slim Helu & family,Mexico,Mexico City,Telecom,Telecom,TRUE,M,Slim Helu,Carlos,93000,1940,1,28,141.54,"$1,258,286,717,125 ",75,13.1,55.1,126014024,
9,Diversified,Mukesh Ambani,India,Mumbai,Diversified,Diversified,FALSE,M,Ambani,Mukesh,83400,1957,4,19,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
10,Technology,Steve Ballmer,United States,Hunts Point,Microsoft,Technology,TRUE,M,Ballmer,Steve,80700,1956,3,24,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
11,Fashion & Retail,Francoise Bettencourt Meyers & family,France,Paris,L'Oréal,Fashion & Retail,FALSE,F,Bettencourt Meyers,Francoise,80500,1953,7,10,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
12,Technology,Larry Page,United States,Palo Alto,Google,Technology,TRUE,M,Page,Larry,79200,1973,3,26,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
13,Fashion & Retail,Amancio Ortega,Spain,La Coruna,Zara,Fashion & Retail,TRUE,M,Ortega,Amancio,77300,1936,3,28,110.96,"$1,394,116,310,769 ",83.3,14.2,47,47076781,
14,Technology,Sergey Brin,United States,Los Altos,Google,Technology,TRUE,M,Brin,Sergey,76000,1973,8,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
15,Food & Beverage,Zhong Shanshan,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,TRUE,M,Zhong,Shanshan,68000,1954,12,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
16,Technology,Mark Zuckerberg,United States,Palo Alto,Facebook,Technology,TRUE,M,Zuckerberg,Mark,64400,1984,5,14,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
17,Diversified,Charles Koch & family,United States,Wichita,Koch Industries,Diversified,FALSE,M,Koch,Charles,59000,1935,11,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
17,Diversified,Julia Koch & family,United States,New York,Koch Industries,Diversified,FALSE,F,Koch,Julia,59000,1962,4,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
19,Fashion & Retail,Jim Walton,United States,Bentonville,Walmart,Fashion & Retail,FALSE,M,Walton,Jim,58800,1948,6,7,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
20,Fashion & Retail,Rob Walton & family,United States,Bentonville,Walmart,Fashion & Retail,FALSE,M,Walton,Rob,57600,1944,10,27,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
21,Fashion & Retail,Alice Walton,United States,Fort Worth,Walmart,Fashion & Retail,FALSE,F,Walton,Alice,56700,1949,10,7,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
22,Media & Entertainment,David Thomson & family,Canada,Toronto,Media,Media & Entertainment,FALSE,M,Thomson,David,54400,1957,6,12,116.76,"$1,736,425,629,520 ",81.9,12.8,24.5,36991981,
23,Technology,Michael Dell,United States,Austin,Dell Technologies,Technology,TRUE,M,Dell,Michael,50100,1965,2,23,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
