Rank,Category,Name,Country,City,Source,Industries,SelfMade,Gender,LastName,FirstName,FinalWorth,BirthDate,Age,birthYear,birthMonth,birthDay,Cpi_Country,Gdp_Country,Life_Expectancy_Country,Tax_Revenue_Country_Country,Total_Tax_Rate_Country,Population_Country,,Current Date
1,Fashion & Retail,Bernard Arnault & family,France,Paris,LVMH,Fashion & Retail,FALSE,Male,Arnault,Bernard,211000,3/5/1949,77,1949,3,5,110.05,2715518274227,82.5,24.2,60.7,67059887,,11/25/25
2,Automotive,Elon Musk,United States,Austin,"Tesla, SpaceX",Automotive,TRUE,Male,Musk,Elon,180000,6/28/1971,54,1971,6,28,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
3,Technology,Jeff Bezos,United States,Medina,Amazon,Technology,TRUE,Male,Bezos,Jeff,114000,1/12/1964,62,1964,1,12,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
4,Technology,Larry Ellison,United States,Lanai,Oracle,Technology,TRUE,Male,Ellison,Larry,107000,8/17/1944,81,1944,8,17,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
5,Finance & Investments,Warren Buffett,United States,Omaha,Berkshire Hathaway,Finance & Investments,TRUE,Male,Buffett,Warren,106000,8/30/1930,95,1930,8,30,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
6,Technology,Bill Gates,United States,Medina,Microsoft,Technology,TRUE,Male,Gates,Bill,104000,10/28/1955,70,1955,10,28,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
7,Media & Entertainment,Michael Bloomberg,United States,New York,Bloomberg LP,Media & Entertainment,TRUE,Male,Bloomberg,Michael,94500,2/14/1942,84,1942,2,14,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
8,Telecom,Carlos Slim Helu & family,Mexico,Mexico City,Telecom,Telecom,TRUE,Male,Slim Helu,Carlos,93000,1/28/1940,86,1940,1,28,141.54,1258286717125,75,13.1,55.1,126014024,,11/25/25
9,Diversified,Mukesh Ambani,India,Mumbai,Diversified,Diversified,FALSE,Male,Ambani,Mukesh,83400,4/19/1957,69,1957,4,19,180.44,2611000000000,69.4,11.2,49.7,1366417754,,11/25/25
10,Technology,Steve Ballmer,United States,Hunts Point,Microsoft,Technology,TRUE,Male,Ballmer,Steve,80700,3/24/1956,70,1956,3,24,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
